样本ID,场景,子类型(英文),子类型(中文),迁移类型(英文),迁移类型(中文),实现范围(英文),实现范围(中文),逻辑对应范围(英文),逻辑对应范围(中文),仓库名,仓库创建时间,仓库Stars,PR编号,PR链接,PR创建时间,标题,PR摘要,修改文件摘要,原始是否有测试(英文),原始是否有测试(中文),是否新增测试(英文),是否新增测试(中文),自动信号(英文),自动信号(中文),人工标签(英文),人工标签(中文提示),源语言(英文),源语言(中文),目标语言(英文),目标语言(中文),源版本,目标版本,迁移模式说明,测试框架(英文),测试框架(中文),构建系统(英文),构建系统(中文),可复现性(英文),可复现性(中文),是否适合改写Issue(英文),是否适合改写Issue(中文),泄漏风险(英文),泄漏风险(中文),排除原因(英文),排除原因(中文),标注人,交叉复核状态(英文),交叉复核状态(中文),备注
py2_py3__gr812b__CVT-Simulator__pr394,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,gr812b/CVT-Simulator,2024-09-10T17:47:42Z,6,394,https://github.com/gr812b/CVT-Simulator/pull/394,2026-01-30T04:10:46Z,Fixed all ramp stuff,"**Description** Fixed ramp math and visualizer to work properly **Changes** List the main changes made in this PR: - [x] Math ramp updated and simplified (linear uses angle instead of slope, circle removed radius and uses angles) - [x] Removed old ramps no longer needed - [x] 1:1 aspect ratio -...",backend/app/api/endpoints.py; cvtModel/src/cvt_simulator/models/pulley/primary_pulley_flyweight.py; cvtModel/src/cvt_simulator/models/pulley/secondary_pulley_torque_reactive.py; cvtModel/src/cvt_simulator/models/ramps/__init__.py; cvtModel/src/cvt_simulator/models/ramps/archive/cubic_spiral_zero_k1.py; cvtModel/src/cvt_simulator/models/ramps/archive/cubic_spiral_zero_zero.py; cvtModel/src/cvt_simulator/models/ramps/archive/euler_spiral_segment.py; cvtModel/src/cvt_simulator/models/ramps/archive/generate_sample_ramps.py; cvtModel/src/cvt_simulator/models/ramps/archive/pro_defined_segment.py; cvtModel/src/cvt_simulator/models/ramps/circular_segment.py; cvtModel/src/cvt_simulator/models/ramps/linear_segment.py; cvtModel/src/cvt_simulator/models/ramps/piecewise_ramp.py; cvtModel/src/cvt_simulator/models/ramps/ramp_config.py; cvtModel/src/cvt_simulator/models/ramps/ramp_preview.py; cvtModel/src/cvt_simulator/models/ramps/ramp_segment.py; cvtModel/src/cvt_simulator/models/ramps/ramp_serialization.py; cvtModel/src/cvt_simulator/utils/ramp_utils.py; frontend/src/components/rampBuilder/RampPreview.module.scss; frontend/src/components/rampBuilder/RampPreview.tsx; frontend/src/types/api.ts,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__hashgraph-online__ai-plugin-scanner__pr2,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,hashgraph-online/ai-plugin-scanner,,99,2,https://github.com/hashgraph-online/ai-plugin-scanner/pull/2,,feat: complete v1.2 operational hardening PRD,## Purpose Complete the v1.2 operational-hardening PRD end to end for `codex-plugin-scanner`. This PR turns the scanner into a stronger publishability and operational-security gate by adding: - Codex `interface` metadata and asset validation - MCP remote transport hardening - Operational-security...,README.md; pyproject.toml; src/codex_plugin_scanner/__init__.py; src/codex_plugin_scanner/checks/manifest.py; src/codex_plugin_scanner/checks/operational_security.py; src/codex_plugin_scanner/checks/security.py; src/codex_plugin_scanner/checks/skill_security.py; src/codex_plugin_scanner/cli.py; src/codex_plugin_scanner/integrations/cisco_skill_scanner.py; src/codex_plugin_scanner/models.py; src/codex_plugin_scanner/reporting.py; src/codex_plugin_scanner/scanner.py; tests/fixtures/good-plugin/.codex-plugin/plugin.json; tests/fixtures/good-plugin/assets/icon.svg; tests/fixtures/good-plugin/assets/logo.svg; tests/fixtures/good-plugin/assets/screenshot.svg; tests/test_cli.py; tests/test_integration.py; tests/test_live_cisco_smoke.py; tests/test_manifest.py,true,是,true,是,adds_new_tests; strict_migration_signal; touches_code; touches_tests,新增测试；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__inducer__pyopencl__pr896,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,inducer/pyopencl,2011-04-06T02:51:33Z,1135,896,https://github.com/inducer/pyopencl/pull/896,2026-02-21T14:53:53Z,Ruff152,,.basedpyright/baseline.json; contrib/fortran-to-opencl/translate.py; examples/black-hole-accretion.py; examples/demo.py; examples/dump-properties.py; examples/image_filters_using_image2d_t.py; examples/n-body.py; examples/pi-monte-carlo.py; examples/svm.py; examples/transpose.py; pyopencl/__init__.py; pyopencl/_cl.pyi; pyopencl/_monkeypatch.py; pyopencl/algorithm.py; pyopencl/array.py; pyopencl/bitonic_sort.py; pyopencl/cache.py; pyopencl/characterize/__init__.py; pyopencl/clmath.py; pyopencl/clrandom.py,true,是,false,否,keyword_match; touches_code; touches_tests,命中关键词；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__infobloxopen__infoblox-ansible__pr308,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,infobloxopen/infoblox-ansible,2017-08-25T14:52:59Z,62,308,https://github.com/infobloxopen/infoblox-ansible/pull/308,2025-12-16T09:54:35Z,Fix Sanity and UT execution,Unit and Sanity Tests are fixed,.github/workflows/ansible-test.yml; plugins/inventory/nios_inventory.py; plugins/module_utils/api.py; plugins/modules/nios_dtc_monitor_snmp.py; plugins/modules/nios_dtc_topology.py; plugins/modules/nios_fixed_address.py; plugins/modules/nios_host_record.py; plugins/modules/nios_network.py; plugins/modules/nios_range.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__jgliss__pyplis__pr81,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,jgliss/pyplis,2017-01-03T11:13:52Z,8,81,https://github.com/jgliss/pyplis/pull/81,2025-05-18T18:20:43Z,Deprecate six usage,Closes #59,pyplis/base_img_list.py; pyplis/cellcalib.py; pyplis/dataset.py; pyplis/doascalib.py; pyplis/fluxcalc.py; pyplis/forms.py; pyplis/geometry.py; pyplis/helpers.py; pyplis/image.py; pyplis/imagelists.py; pyplis/inout.py; pyplis/model_functions.py; pyplis/plumebackground.py; pyplis/plumespeed.py; pyplis/processing.py; pyplis/setupclasses.py; pyplis/utils.py; pyplis_env.yml; pyproject.toml,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__jjhelmus__nmrglue__pr233,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,jjhelmus/nmrglue,2012-03-15T20:39:00Z,261,233,https://github.com/jjhelmus/nmrglue/pull/233,2025-04-08T18:27:53Z,Update 2d_interactive.py,change xrange to range in examples/interactive/interactive_2d/2d_interactive.py as xrange is only present in Python2. Python3 uses range,examples/interactive/interactive_2d/2d_interactive.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__learning-unlimited__ESP-Website__pr4231,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,learning-unlimited/ESP-Website,2011-10-25T14:30:31Z,206,4231,https://github.com/learning-unlimited/ESP-Website/pull/4231,2026-02-21T15:33:07Z,refactor: remove six library from useful_scripts,### Description Remove all `six` library usage from the `useful_scripts/` directory. Primarily removes `from six.moves import input/range` and a few `six.string_types`/`six.iteritems` calls. **20 files changed** | +7/-28 ### Related Issue Part of #4232 — Remove `six` compatibility library ###...,esp/useful_scripts/add_lunches.py; esp/useful_scripts/all_classes_ever.py; esp/useful_scripts/change-capacities-move-rooms-june-2013.py; esp/useful_scripts/check_conflicts.py; esp/useful_scripts/code_relicensing.py; esp/useful_scripts/csv_classroom_import.py; esp/useful_scripts/csv_fresh_classroom_import.py; esp/useful_scripts/deduplicate_classrooms.py; esp/useful_scripts/disable_users.py; esp/useful_scripts/export_all_surveys.py; esp/useful_scripts/formstack_download.py; esp/useful_scripts/get_emails.py; esp/useful_scripts/increase_caps.py; esp/useful_scripts/merging_sep6.py; esp/useful_scripts/mitalert.py; esp/useful_scripts/onsite_apr17.py; esp/useful_scripts/register_users/register_user.py; esp/useful_scripts/schools_apr7.py; esp/useful_scripts/total_donation.py; esp/useful_scripts/unenroll_students.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__lijunzh__SeisCM__pr2,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,lijunzh/SeisCM,,28,2,https://github.com/lijunzh/SeisCM/pull/2,,"Modernize repo: src layout, type hints, ruff, GitHub Actions CI/CD",## Summary This PR brings SeisCM from its 2017 Python 2.7 era into 2025 with modern tooling and best practices. ### Changes #### Project Structure - **`src/` layout** — migrated from flat `seiscm/` to `src/seiscm/` - **`setup.py` → `pyproject.toml`** with `setuptools_scm` for dynamic git-tag...,.github/workflows/cicd.yml; .gitignore; .pre-commit-config.yaml; README.md; pyproject.toml; seiscm/__init__.py; seiscm/seiscm.py; setup.py; src/seiscm/__init__.py; src/seiscm/py.typed; src/seiscm/seiscm.py; tests/__init__.py; tests/test_seiscm.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,setuptools,setuptools,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__mapproxy__mapproxy__pr1364,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,mapproxy/mapproxy,2012-04-23T07:36:34Z,649,1364,https://github.com/mapproxy/mapproxy/pull/1364,2026-01-14T09:31:55Z,feat: improve typing of ImmutableDictList,"This PR aims at making the ImmutableDictList and NamedGridList more typesafe. This is done mainly by making ImmutableDictList a generic that inherits from Mapping: ```python class ImmutableDictList(Mapping[Hashable, V], Generic[V]): ... ``` Inheriting from Mapping changed the behavior for...",mapproxy/cache/geopackage.py; mapproxy/grid/resolutions.py; mapproxy/grid/tile_grid.py; mapproxy/script/grids.py; mapproxy/service/wmts.py; mapproxy/test/unit/test_cache_tile.py; mapproxy/test/unit/test_collections.py; mapproxy/util/immutable_dict_list.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__mapproxy__mapproxy__pr1366,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,mapproxy/mapproxy,2012-04-23T07:36:34Z,649,1366,https://github.com/mapproxy/mapproxy/pull/1366,2026-01-14T15:46:58Z,Collections no case multi dict,"NoCaseMultiDict: Dictionary with case-insensitive keys and support for multiple values per key. The first inserted key spelling is preserved. inherit from `MutableMapping[str, V], Generic[V]` to make it more typesafe - but why not `MutableMapping[str, list[V]]? Because `__getitem__` (`[]` access)...",mapproxy/request/no_case_multi_dict.py; mapproxy/request/request_params.py; mapproxy/test/unit/test_request.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__multikernel__sandlock__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,multikernel/sandlock,,87,3,https://github.com/multikernel/sandlock/pull/3,,fix: repair TCP port-remapping slow path,"## Summary Fixes #2. Four bugs in the TCP port-remapping slow path. The slow path (triggered when the virtual port is already taken) had not been tested (all existing tests ran sequentially, so the port was always free by the time the second sandbox started). ## Bugs fixed **Bug 1 -...",src/sandlock/_context.py; src/sandlock/_notif.py; src/sandlock/_port_remap.py; tests/test_sandbox.py,true,是,false,否,keyword_match; touches_code; touches_tests,命中关键词；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__mwyau__PyStormTracker__pr2,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,mwyau/PyStormTracker,,17,2,https://github.com/mwyau/PyStormTracker/pull/2,,Python 3 Migration and Architectural Refactor (v0.2.0),This PR completes the migration of PyStormTracker to modern Python 3 standards. ### Key Changes: - **Python 3 & Type Hinting**: Fully migrated from Python 2; added comprehensive type hints verified by mypy and uff. - **Library Migration**: Switched from deprecated PyNIO to etCDF4. Fixed issues...,.gitattributes; .gitignore; README.md; data/slp.2012.nc; notebooks/detect_center_latlon.ipynb; notebooks/get_var_handle.ipynb; notebooks/plot_tracks.ipynb; pyproject.toml; src/pystormtracker/__init__.py; src/pystormtracker/detector.py; src/pystormtracker/linker.py; src/pystormtracker/models/__init__.py; src/pystormtracker/models/center.py; src/pystormtracker/models/grid.py; src/pystormtracker/models/tracks.py; src/pystormtracker/simple/__init__.py; src/pystormtracker/simple/detector.py; src/pystormtracker/simple/linker.py; src/pystormtracker/stormtracker.py; tests/test_center.py,true,是,true,是,adds_new_tests; keyword_match; touches_code; touches_tests,新增测试；命中关键词；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__oils-for-unix__oils__pr2328,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,oils-for-unix/oils,2016-11-15T19:19:09Z,3317,2328,https://github.com/oils-for-unix/oils/pull/2328,2025-06-27T01:41:04Z,[builtin/fc] Initial implementation of `fc -l`,"#### Summary This is the first pull request for `fc`. This just implements most of the display features. On thing that's missing is with `[first]` and `[last]`, you can index with a string that does a ""starts with"" type of match to find the index. Seems like it would be pretty complex, so I...",builtin/readline_osh.py; core/shell.py; doc/ref/chap-builtin-cmd.md; doc/ref/toc-osh.md; frontend/builtin_def.py; frontend/flag_def.py; spec/builtin-fc.test.sh; test/spec.sh,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__opendatahub-io__notebooks__pr2861,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,opendatahub-io/notebooks,2022-09-06T12:51:19Z,29,2861,https://github.com/opendatahub-io/notebooks/pull/2861,2026-01-22T20:19:56Z,"Bump core Jupyter packages (ipykernel → 7.1.0; ipython → 9.9.0; jupyter-core → 5.9.1) and upgrade numpy, pandas, transformers, datasets, accelerate","<!--- Provide a general summary of your changes in the Title above --> ## Description <!--- Describe your changes in detail --> ## How Has This Been Tested? <!--- Please describe in detail how you tested your changes. --> <!--- Include details of your testing environment, and the tests you ran to...",codeserver/ubi9-python-3.12/pylock.toml; codeserver/ubi9-python-3.12/pyproject.toml; dependencies/odh-notebooks-meta-runtime-elyra-deps/pyproject.toml; jupyter/datascience/ubi9-python-3.12/Dockerfile.cpu; jupyter/trustyai/ubi9-python-3.12/pylock.toml; jupyter/trustyai/ubi9-python-3.12/pyproject.toml; manifests/base/code-server-notebook-imagestream.yaml; manifests/base/jupyter-trustyai-notebook-imagestream.yaml; runtimes/datascience/ubi9-python-3.12/Dockerfile.cpu; runtimes/datascience/ubi9-python-3.12/pylock.toml; runtimes/minimal/ubi9-python-3.12/pylock.toml; runtimes/pytorch+llmcompressor/ubi9-python-3.12/pylock.toml; runtimes/pytorch/ubi9-python-3.12/pylock.toml; runtimes/rocm-pytorch/ubi9-python-3.12/pylock.toml; runtimes/rocm-tensorflow/ubi9-python-3.12/pylock.toml; runtimes/tensorflow/ubi9-python-3.12/pylock.toml; tests/test_main.py,true,是,false,否,keyword_match; touches_code; touches_tests,命中关键词；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__pairinteraction__pairinteraction__pr388,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,pairinteraction/pairinteraction,2016-09-01T16:37:32Z,50,388,https://github.com/pairinteraction/pairinteraction/pull/388,2026-04-08T16:40:23Z,Various GUI fixes,- store all the systems and calculate the annotation labels just in time - a lot of small fixes # TODO in another PR - allow editing fields even if they are not checked - yrange and xrange in plotwindow setzen - select which energy_0 defintion to use (with or without fields) for pair calculations...,docs/tutorials/examples_python/pair_potentials.ipynb; docs/tutorials/examples_python/stark_map.ipynb; docs/tutorials/examples_python/state_atom_object.ipynb; src/cpp/src/ket/KetPair.cpp; src/pairinteraction/basis/basis_base.py; src/pairinteraction/basis/basis_pair.py; src/pairinteraction/system/system_pair.py; src/pairinteraction_gui/calculate/calculate_base.py; src/pairinteraction_gui/config/calculation_config.py; src/pairinteraction_gui/config/ket_config.py; src/pairinteraction_gui/config/system_config.py; src/pairinteraction_gui/export_templates/one_atom.ipynb; src/pairinteraction_gui/export_templates/two_atoms.ipynb; src/pairinteraction_gui/export_templates/two_atoms_variable_fields.ipynb; src/pairinteraction_gui/images/loading.gif; src/pairinteraction_gui/page/base_page.py; src/pairinteraction_gui/page/lifetimes_page.py; src/pairinteraction_gui/page/one_atom_page.py; src/pairinteraction_gui/page/two_atoms_page.py; src/pairinteraction_gui/plotwidget/navigation_toolbar.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__proteanhq__protean__pr868,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,proteanhq/protean,2018-07-15T12:51:10Z,37,868,https://github.com/proteanhq/protean/pull/868,2026-04-04T01:45:15Z,Enrich CausationNode with timing and handler data,"## Summary - Add `handler`, `duration_ms`, and `delta_ms` fields to `CausationNode` dataclass for waterfall/swimlane rendering - Update `_build_causation_tree_from_group()` to accept optional `traces_by_message_id` dict, compute inter-message `delta_ms` from parent/child timestamps, and populate...",CHANGELOG.md; src/protean/cli/events.py; src/protean/port/event_store.py; src/protean/server/observatory/routes/timeline.py; tests/server/observatory/test_causation_enrichment.py,true,是,true,是,adds_new_tests; strict_migration_signal; touches_code; touches_tests,新增测试；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__pycontribs__jenkinsapi__pr1130,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,pycontribs/jenkinsapi,2012-01-05T16:43:13Z,881,1130,https://github.com/pycontribs/jenkinsapi/pull/1130,2026-04-06T23:41:06Z,"docs: fix Python 2 print statements and iteritems, remove unused pipe…",…lint script,.gitignore; README.rst; bin/pipelint; doc/getting_started.rst; examples/how_to/delete_all_the_nodes_except_master.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__pydantic__pydantic-ai__pr4196,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,pydantic/pydantic-ai,2024-06-21T15:55:04Z,16440,4196,https://github.com/pydantic/pydantic-ai/pull/4196,2026-02-04T17:28:52Z,fix(vercel): Align `dump_messages` output with Vercel spec,"<!-- Thank you for contributing to Pydantic AI! --> <!-- Please add the issue number that should be closed when this PR is merged. --> <!-- If there is no issue, please create one first, even for simple bug fixes. --> - Closes #4193 - Closes #4263 ### Pre-Review Checklist <!-- These checks need...",pydantic_ai_slim/pydantic_ai/ui/vercel_ai/_adapter.py; pydantic_ai_slim/pydantic_ai/ui/vercel_ai/_event_stream.py; pydantic_ai_slim/pydantic_ai/ui/vercel_ai/_utils.py; tests/test_vercel_ai.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__python__mypy__pr20693,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,python/mypy,2012-12-07T13:30:23Z,20377,20693,https://github.com/python/mypy/pull/20693,2026-01-30T06:12:03Z,"Improve ""Name is not defined"" errors with fuzzy matching",This PR collects all visible names in the current scope and uses fuzzy matching to provide suggestions in the error messages,mypy/semanal.py; test-data/unit/check-errorcodes.test; test-data/unit/pythoneval.test,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__quantumlib__OpenFermion__pr1260,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,quantumlib/OpenFermion,2017-09-21T22:10:28Z,1677,1260,https://github.com/quantumlib/OpenFermion/pull/1260,2026-04-07T04:53:31Z,Remove Python 2 shims,"Remove legacy Python 2 compatibility code. Since Python 3 is the only supported version now, these shims are no longer necessary.",src/openfermion/chem/molecular_data.py; src/openfermion/testing/testing_utils.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__redis__mcp-redis__pr115,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,redis/mcp-redis,2025-04-02T08:42:13Z,485,115,https://github.com/redis/mcp-redis/pull/115,2026-03-26T05:25:50Z,Add stream consumer group tools,"## Summary This PR adds core Redis Streams consumer-group operations to the Redis MCP Server: - xgroup_create - xreadgroup - xack Redis already supports these commands, but mcp-redis only exposed xadd, xrange, and xdel. That meant MCP clients could write to streams and inspect them, but could not...",README.md; src/tools/stream.py; tests/test_integration.py; tests/tools/test_stream.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__runpod__flash__pr286,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,runpod/flash,2025-03-25T22:16:46Z,101,286,https://github.com/runpod/flash/pull/286,2026-03-25T20:25:00Z,fix(runtime): handle input=None in generic handler,"## Summary - Fix `AttributeError` crash when malformed job sends `{""input"": null}` to generic handler - Changed `job.get(""input"", {})` to `job.get(""input"") or {}` in both `create_handler` and `create_deployed_handler` — the default `{}` only applies when the key is missing, not when it's...",.github/workflows/release-please.yml; src/runpod_flash/runtime/generic_handler.py; tests/unit/resources/test_resource_manager.py; tests/unit/runtime/test_generic_handler.py; tests/unit/test_resource_identity.py,true,是,false,否,strict_migration_signal; touches_code; touches_tests,强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
